shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1//test20tig_AVTZ// DONE 4.377589591893317 2	-0.89532278 -0.58505970 0.12705840 -0.10617210 -0.91620908 -0.82540830 -0.87790250
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVTZ// DONE 4.3775900232822025 2	-0.89531282 -0.58506050 0.12706760 -0.10618440 -0.91619602 -0.82540960 -0.87789550
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVTZ// DONE 4.460130786847382 2	-0.12965681 0.16861040 1.02575000 -0.10633360 -1.04907321 -0.99519420 -1.02634300
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVTZ// DONE 4.4601310789633635 2	-0.12965734 0.16860970 1.02574800 -0.10633250 -1.04907284 -0.99519470 -1.02634300
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.5159560879710785 1	-1.41306801 -1.23851300 -0.20794600 -0.14295940 -1.06216261 -0.94235080 -1.01161700
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.515956488205573 1	-1.41306167 -1.23850900 -0.20794550 -0.14295970 -1.06215647 -0.94235210 -1.01161400
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.515956561069497 1	-1.41307284 -1.23851500 -0.20794250 -0.14296650 -1.06216384 -0.94234200 -1.01161400
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.5159568524807465 1	-1.41306497 -1.23851200 -0.20794790 -0.14295880 -1.06215827 -0.94235200 -1.01161500
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVTZ// DONE 5.849414294420457 2	0.09365232 0.13419830 0.24894570 -0.00934448 -0.14594890 -0.14853900 -0.14704160
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z0_mono0_fix1//test20tig_AVTZ// DONE 6.141085043291241 2	-0.29420008 -0.25934250 -0.23928260 -0.00768086 -0.04723662 -0.04143281 -0.04478814
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 6.357429267555807 2	-0.20768553 -0.17981640 -0.18867600 -0.00253009 -0.01647944 -0.01286057 -0.01495273
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 7.239439282042159 2	-0.03907859 -0.02265089 -0.02226551 -0.00064361 -0.01616947 -0.01560442 -0.01593109
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 7.23943950064428 2	-0.03907929 -0.02265083 -0.02226385 -0.00064551 -0.01616993 -0.01560107 -0.01592994
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 7.239439558657251 2	-0.03908054 -0.02265093 -0.02225756 -0.00065106 -0.01617192 -0.01559582 -0.01592888
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 7.239439752791947 2	-0.03907645 -0.02265086 -0.02226151 -0.00064802 -0.01616692 -0.01560270 -0.01592889
shell0_X0_Y0_Z0_mono0_fix1/shell2_X0_Y2_Z0_mono3_fix1//test20tig_AVTZ// DONE 7.441595701055089 4	-0.05272311 -0.03490391 -0.03697709 -0.00057209 -0.01517392 -0.01436249 -0.01483160
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1//test20tig_AVTZ// DONE 7.441595710913053 4	-0.05271917 -0.03490392 -0.03697218 -0.00057743 -0.01516955 -0.01436220 -0.01482895
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z0_mono2_fix1//test20tig_AVTZ// DONE 7.501411619895283 2	-0.06210546 -0.04234875 -0.04416789 -0.00064886 -0.01728871 -0.01632366 -0.01688158
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono2_fix1//test20tig_AVTZ// DONE 7.501411867012628 2	-0.06209940 -0.04234878 -0.04415490 -0.00066227 -0.01728223 -0.01631962 -0.01687613
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono2_fix1//test20tig_AVTZ// DONE 7.633408800312303 2	0.01584342 0.02925893 0.04140026 -0.00121240 -0.02434444 -0.02483091 -0.02454967
