shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVTZ// DONE    26.70735304430393 2     	  0.01218581 -0.06328573 0.01881511 -0.00553687 -0.00109243 -0.00408480 -0.00235484
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X1_Y0_Z0_mono1_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVTZ// DONE    26.707354503412606 2     	  0.01213804 -0.06328563 0.01883807 -0.00556377 -0.00113626 -0.00407584 -0.00237640
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono2_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVTZ// DONE    26.70735492412345 2     	  0.01214381 -0.06328564 0.01883268 -0.00555630 -0.00113258 -0.00406951 -0.00237160
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono1_fix1/shell1_X1_Y1_Z0_mono3_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVTZ// DONE    26.707356051993962 2     	  0.01221639 -0.06328561 0.01879719 -0.00551668 -0.00106411 -0.00408093 -0.00233683
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z1_mono3_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVTZ// DONE    28.04081100632177 1     	  0.01689265 -0.01199977 0.02164232 -0.00244144 -0.00230823 -0.00359654 -0.00285173
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVTZ// DONE    28.040811105369208 2     	  0.01689058 -0.01199977 0.02164644 -0.00244681 -0.00230905 -0.00360139 -0.00285425
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y0_Z1_mono2_fix1//test20tig_AVTZ// DONE    28.040811685742014 1     	  0.00857464 -0.02062912 0.00887791 -0.00244673 0.00214345 0.00063879 0.00150867
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z1_mono3_fix1/shell1_X1_Y0_Z0_mono1_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVTZ// DONE    28.040811990788228 1     	  0.00858174 -0.02062910 0.00887928 -0.00244728 0.00214974 0.00062552 0.00150671
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVTZ// DONE    28.04081214663151 2     	  0.00858696 -0.02062913 0.00887640 -0.00244243 0.00215299 0.00062464 0.00150821
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z1_mono3_fix1/shell1_X0_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVTZ// DONE    28.040812342197984 1     	  0.00858636 -0.02062912 0.00887434 -0.00244207 0.00215408 0.00063062 0.00151137
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X0_Y1_Z0_mono2_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVTZ// DONE    28.0408125120903 2     	  0.00858612 -0.02062912 0.00887467 -0.00244237 0.00215381 0.00063148 0.00151158
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y0_Z1_mono2_fix1/shell1_X1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE    28.040812705432238 1     	  0.01690556 -0.01199980 0.02163410 -0.00242902 -0.00229952 -0.00359425 -0.00284574
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z1_mono2_fix1/shell1_X0_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVTZ// DONE    28.040813021618202 1     	  0.01691177 -0.01199979 0.02163200 -0.00242760 -0.00229263 -0.00359959 -0.00284401
