shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.5159560879710785 4.460130786847383 4.3775895422126005 13.353676417031062 2            	  -0.01203352 -0.01447896 -0.01795986 -0.06607197 -0.06620090 -0.06607118 -0.06620092 -0.00000000 -0.00000000 0.05403766 0.05159222 0.04824106
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.377589591893318 4.460130786847383 4.51595605254862 13.353676431289323 2            	  -0.01202925 -0.01447643 -0.01795970 -0.06607197 -0.06620089 -0.06607118 -0.06620091 0.00000000 -0.00000000 0.05404193 0.05159475 0.04824121
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell0_X0_Y0_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.5159560879710785 4.377589591893318 4.460130982830929 13.353676662695324 2            	  0.00832703 0.00730285 0.00588948 -0.03097364 -0.03098221 -0.03097263 -0.03098248 -0.00000000 0.00000001 0.03929966 0.03827547 0.03687195
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z0_mono1_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.515956488205572 4.4601310789633635 4.3775895422126005 13.353677109381536 2            	  0.00828854 0.00728068 0.00588969 -0.03097336 -0.03098193 -0.03097233 -0.03098219 0.00000000 0.00000001 0.03926087 0.03825301 0.03687187
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.377589591893318 4.4601310789633635 4.51595650957896 13.353677180435643 2            	  0.00828865 0.00728078 0.00588979 -0.03097338 -0.03098196 -0.03097236 -0.03098222 0.00000000 0.00000001 0.03926101 0.03825315 0.03687201
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.515956561069496 4.460130786847383 4.3775899736014985 13.353677321518377 2            	  0.00828908 0.00728101 0.00588977 -0.03097332 -0.03098188 -0.03097230 -0.03098215 0.00000000 0.00000001 0.03926138 0.03825332 0.03687191
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.377589591893318 4.515956488205572 4.460131292558794 13.353677372657684 2            	  -0.01202960 -0.01447650 -0.01795940 -0.06607187 -0.06620080 -0.06607107 -0.06620081 0.00000000 -0.00000000 0.05404147 0.05159457 0.04824141
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono2_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.3775900232822025 4.460130786847383 4.515956596491944 13.353677406621529 2            	  0.00828817 0.00728047 0.00588970 -0.03097342 -0.03098199 -0.03097241 -0.03098226 -0.00000000 0.00000001 0.03926059 0.03825288 0.03687195
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.515956561069496 4.3775900232822025 4.460130982830929 13.353677567182627 2            	  -0.01203501 -0.01447897 -0.01795785 -0.06607176 -0.06620069 -0.06607096 -0.06620070 -0.00000000 -0.00000000 0.05403596 0.05159199 0.04824285
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono1_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.515956852480747 4.4601310789633635 4.3775899736014985 13.35367790504561 2            	  -0.01203410 -0.01447914 -0.01795950 -0.06607188 -0.06620081 -0.06607108 -0.06620083 -0.00000000 -0.00000000 0.05403698 0.05159194 0.04824133
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono3_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.4601310789633635 4.3775900232822025 4.515956831107359 13.353677933352927 2            	  -0.01203541 -0.01447898 -0.01795733 -0.06607173 -0.06620067 -0.06607093 -0.06620068 0.00000000 -0.00000000 0.05403552 0.05159195 0.04824335
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.515956852480747 4.3775900232822025 4.460131292558794 13.353678168321744 2            	  0.00832735 0.00730304 0.00588950 -0.03097345 -0.03098203 -0.03097244 -0.03098230 -0.00000000 0.00000001 0.03929979 0.03827548 0.03687179
