shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z-1_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 8.698849166296922 6.283227169962362 6.283227169962359 21.265303506221642 18	0.00163200 0.00146954 0.00234069 -0.00012440 -0.00058429 -0.00058773 -0.00058574
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 8.813938135457056 6.283227169962362 6.283227169962361 21.380392475381775 18	-0.00141200 -0.00120949 -0.00218194 0.00015760 0.00061234 0.00065227 0.00062919
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X-1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE 7.57376537453448 6.283227169962361 7.573765382331708 21.430757926828548 18	-0.00134988 -0.00154994 -0.00204898 -0.00001917 0.00071827 0.00076114 0.00073636
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 6.283227169962359 7.664413314073836 7.57376537453448 21.521405858570674 18	0.00158340 0.00169454 0.00200194 -0.00002120 -0.00039734 -0.00038868 -0.00039369
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 7.57376537453448 7.664413314073836 6.2832271699623625 21.521405858570677 18	0.00126183 0.00150013 0.00154999 0.00002212 -0.00031028 -0.00031703 -0.00031313
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 6.283227169962361 7.664413314073836 7.664413321585641 21.612053805621837 18	0.00021358 0.00034876 0.00010106 0.00004692 0.00006561 0.00009367 0.00007744
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X0_Y-1_Z0_mono1_fix1//test20tig_AVDZ// DONE 7.57376537453448 7.573765389968425 7.5737653823317075 22.72129614683461 6	-0.00142371 -0.00182507 -0.00211180 0.00003628 0.00065182 0.00067920 0.00066337
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X-1_Y0_Z0_mono2_fix1//test20tig_AVDZ// DONE 7.57376537453448 7.66441332146008 7.664413314073836 22.902592010068396 18	-0.00017765 -0.00018087 -0.00035721 0.00002898 0.00015059 0.00016919 0.00015844
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X1_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 7.57376537453448 7.664413321585641 8.698849166296922 23.937027862417043 18	0.00056372 0.00052249 0.00067598 -0.00000655 -0.00010571 -0.00008401 -0.00009656
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X-1_Y-1_Z0_mono0_fix1//test20tig_AVDZ// DONE 7.57376537453448 8.813938135457056 7.664413321585641 24.052116831577177 18	-0.00032583 -0.00035347 -0.00052983 0.00003338 0.00017062 0.00019729 0.00018187
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE 6.283227169962361 12.297608531859105 6.283227169962361 24.864062871783823 9	0.00123576 0.00145818 0.00199682 -0.00005746 -0.00070360 -0.00074610 -0.00072153
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 7.57376537453448 7.5737653974569294 9.762161009190821 24.909691781182232 18	0.00039893 0.00045062 0.00050761 0.00001264 -0.00012133 -0.00009803 -0.00011150
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X0_Y0_Z-1_mono2_fix1//test20tig_AVDZ// DONE 7.57376537453448 9.763617675955022 7.5737653823317075 24.911148432821207 18	0.00016885 0.00010975 0.00014796 -0.00000358 0.00002448 0.00004787 0.00003434
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono2_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 9.762161009125473 7.664413314073836 7.57376537453448 25.000339697733786 18	0.00038340 0.00036152 0.00044200 -0.00001249 -0.00004612 -0.00007010 -0.00005624
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z1_mono3_fix1/shell1_X-1_Y0_Z0_mono2_fix1//test20tig_AVDZ// DONE 9.762161009190821 7.66441332146008 7.5737653823317075 25.00033971298261 18	-0.00003605 -0.00010101 -0.00010936 -0.00000504 0.00007834 0.00008322 0.00008040
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono2_fix1/shell1_X1_Y0_Z0_mono3_fix1//test20tig_AVDZ// DONE 9.763617675955022 7.573765382331708 7.664413321585641 25.00179637987237 18	-0.00010829 -0.00015072 -0.00020764 0.00002053 0.00007882 0.00009423 0.00008532
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z1_mono1_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 7.573765405254159 7.664413314073836 9.763617676156576 25.00179639548457 18	-0.00009945 -0.00013236 -0.00017319 -0.00001279 0.00008653 0.00008710 0.00008677
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 9.762161009125471 7.664413314073836 7.664413321585641 25.09098764478495 18	-0.00039980 -0.00046759 -0.00060454 -0.00001461 0.00021935 0.00020504 0.00021331
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono2_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 9.763617675955022 7.66441332146008 7.664413329244468 25.092444326659567 18	0.00012473 0.00009711 0.00012331 -0.00001533 0.00001675 -0.00001339 0.00000404
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X0_Y1_Z0_mono0_fix1//test20tig_AVDZ// DONE 7.57376537453448 6.283227169962359 11.474829462410431 25.33182200690727 18	-0.00104090 -0.00107972 -0.00140741 0.00003088 0.00033563 0.00037779 0.00035342
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X0_Y-1_Z0_mono3_fix1//test20tig_AVDZ// DONE 7.57376537453448 11.474829462410433 6.283227169962359 25.331822006907274 18	-0.00005824 -0.00006740 -0.00002309 0.00002307 -0.00005823 -0.00002816 -0.00004554
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X-1_Y0_Z0_mono3_fix1//test20tig_AVDZ// DONE 7.57376537453448 11.50145518534497 6.2832271699623625 25.35844772984181 18	0.00036790 0.00044028 0.00053533 -0.00000896 -0.00015847 -0.00017982 -0.00016748
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE 7.57376537453448 6.283227169962361 11.50145518534497 25.35844772984181 18	0.00128653 0.00144226 0.00177240 0.00001435 -0.00050022 -0.00049603 -0.00049845
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 6.283227169962361 7.664413314073836 11.527201388382554 25.47484187241875 18	-0.00041370 -0.00044521 -0.00055463 0.00002482 0.00011611 0.00015481 0.00013244
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono3_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 11.527201388382554 7.664413314073836 6.2832271699623625 25.474841872418754 18	0.00033517 0.00031930 0.00047336 -0.00003215 -0.00010605 -0.00012931 -0.00011586
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono0_fix1/shell2_X0_Y2_Z0_mono3_fix1//test20tig_AVDZ// DONE 6.283227169962359 11.55329973447932 7.664413314073836 25.500940218515513 18	-0.00020300 -0.00016637 -0.00028305 0.00001183 0.00006823 0.00008106 0.00007364
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono3_fix1/shell2_X0_Y2_Z0_mono3_fix1//test20tig_AVDZ// DONE 7.664413314073836 11.55329973447932 6.2832271699623625 25.500940218515517 18	-0.00054559 -0.00063785 -0.00076664 -0.00004574 0.00026679 0.00022550 0.00024937
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y-1_Z-1_mono0_fix1/shell1_X1_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 10.574170213290166 8.69884916629692 6.283227169962359 25.556246549549446 18	0.00021788 0.00011124 0.00026730 -0.00002924 -0.00002018 -0.00000486 -0.00001372
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono0_fix1/shell1_X-1_Y1_Z0_mono0_fix1//test20tig_AVDZ// DONE 10.707029454809257 8.69884916629692 6.283227169962361 25.689105791068535 18	0.00059603 0.00063342 0.00078667 -0.00004955 -0.00014109 -0.00017765 -0.00015651
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell1_X-1_Y1_Z-1_mono0_fix1//test20tig_AVDZ// DONE 8.813938135457056 10.707029454809257 6.283227169962359 25.804194760228672 36	-0.00013235 -0.00017757 -0.00022804 -0.00002004 0.00011574 0.00011017 0.00011339
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 9.762161015101716 9.762161009125471 6.283227169962361 25.807549194189548 18	-0.00044286 -0.00051531 -0.00068038 0.00001841 0.00021911 0.00022221 0.00022042
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z-1_mono2_fix1/shell1_X0_Y0_Z-1_mono2_fix1//test20tig_AVDZ// DONE 9.763617681924476 9.763617675955022 6.283227169962361 25.810462527841857 18	-0.00024597 -0.00028156 -0.00037320 0.00000923 0.00011800 0.00014600 0.00012981
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X1_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 7.57376537453448 8.69884916629692 9.762161009190821 26.034775550022218 18	-0.00003500 -0.00009921 -0.00008376 -0.00005322 0.00010199 0.00010440 0.00010300
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z-1_mono0_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 8.69884916629692 7.664413314073836 9.762161015036366 26.125423495407123 18	0.00016360 0.00010364 0.00019086 -0.00005969 0.00003243 0.00001642 0.00002568
