shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell0_X0_Y0_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.565751472509687 4.565751472509687 4.565751472509687 13.697254417529061 6  -0.11416314 -0.11467360 -0.11509550 -0.16391470 -0.16363820 -0.16391540 -0.16363780 -0.00000000 -0.00000001 0.04975226 0.04924181 0.04854230
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z1_mono3_fix1//test20tig_AVDZ// DONE 4.565751472509687 4.565751485810556 4.565751484644253 13.697254442964496 18  0.04793863 0.04682407 0.04511618 0.02001133 0.01983062 0.02001080 0.01983025 -0.00000000 -0.00000000 0.02792783 0.02681328 0.02528593
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z1_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 4.565751485174007 6.283227169962359 15.414730127646052 18  -0.01476816 -0.01453945 -0.01412868 -0.02119409 -0.02109573 -0.02119361 -0.02109625 -0.00000000 -0.00000000 0.00642545 0.00665416 0.00696757
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 4.565751485280802 6.283227169962361 15.414730127752849 18  -0.02023608 -0.01996841 -0.01976996 -0.02521171 -0.02538026 -0.02521153 -0.02537989 -0.00000000 -0.00000000 0.00497546 0.00524313 0.00560994
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.565751472509687 7.573765382331708 4.565751473146237 16.705268327987632 18  0.01796342 0.01758089 0.01720453 0.01432279 0.01446973 0.01432200 0.01446986 -0.00000001 -0.00000000 0.00364143 0.00325889 0.00273467
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 7.57376537453448 4.565751485280802 4.565751473146237 16.705268332961516 18  -0.00741187 -0.00706698 -0.00653033 -0.00229715 -0.00223229 -0.00229616 -0.00223213 -0.00000001 -0.00000000 -0.00511570 -0.00477081 -0.00429819
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.565751472509687 7.664413314073836 4.565751473146237 16.795916259729758 18  -0.04054025 -0.04019333 -0.03969353 -0.04881362 -0.04878968 -0.04881407 -0.04878968 -0.00000000 -0.00000000 0.00827382 0.00862074 0.00909615
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z1_mono3_fix1//test20tig_AVDZ// DONE 4.565751472509687 4.565751484644253 7.664413321585641 16.795916278739583 18  0.03097229 0.03091803 0.03063932 0.04144615 0.04124276 0.04144619 0.04124183 0.00000001 -0.00000000 -0.01047390 -0.01052816 -0.01060251
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 4.565751472509687 8.69884916629692 4.565751497945122 17.830352136751728 9  0.04785233 0.04701475 0.04585970 0.05122787 0.05121960 0.05122758 0.05122034 0.00000000 -0.00000001 -0.00337525 -0.00421283 -0.00536062
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y0_Z1_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 4.565751497945122 8.813938135457056 17.945441105911865 9  0.03290883 0.03287215 0.03280090 0.04699897 0.04697875 0.04699916 0.04697818 -0.00000001 -0.00000000 -0.01409033 -0.01412701 -0.01417728
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 7.57376537453448 6.283227169962362 4.565751473146237 18.422744017643076 18  0.00492770 0.00492518 0.00490530 0.00522050 0.00520399 0.00522052 0.00520407 -0.00000001 -0.00000000 -0.00029281 -0.00029532 -0.00029878
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono3_fix1/shell1_X0_Y0_Z1_mono3_fix1//test20tig_AVDZ// DONE 7.57376537453448 4.565751473146237 6.2832271699623625 18.42274401764308 18  0.01934086 0.01929624 0.01925392 0.02393331 0.02395180 0.02393318 0.02395197 -0.00000001 0.00000000 -0.00459231 -0.00463692 -0.00469805
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X-1_Y0_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.565751472509687 7.66441332146008 6.283227169962359 18.513391963932126 18  -0.00316980 -0.00320483 -0.00326513 -0.00596405 -0.00597626 -0.00596396 -0.00597626 -0.00000001 0.00000000 0.00279418 0.00275914 0.00271113
