shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE    29.826331553019806 2     	  0.00421637 -0.04875762 0.01837142 -0.01051260 -0.00364245 -0.00575801 -0.00453495
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE    29.82633195851455 2     	  0.00422394 -0.04875728 0.01836610 -0.01050739 -0.00363477 -0.00575933 -0.00453107
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X0_Y-1_Z0_mono0_fix1//test20tig_AVDZ// DONE    29.826337578001336 2     	  0.00418521 -0.04875752 0.01838742 -0.01053452 -0.00366769 -0.00575706 -0.00454914
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X0_Y1_Z-1_mono1_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE    29.826337983496078 2     	  0.00418380 -0.04875716 0.01838665 -0.01053229 -0.00367056 -0.00575535 -0.00455008
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE    30.043921475920612 2     	  0.00421830 -0.04222133 0.01661641 -0.00956150 -0.00283661 -0.00472251 -0.00363222
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVDZ// DONE    30.04392183040727 2     	  0.00420164 -0.04222169 0.01662511 -0.00957322 -0.00285025 -0.00471956 -0.00363886
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE    30.043922603454053 2     	  0.00422062 -0.04222186 0.01661404 -0.00955944 -0.00283398 -0.00471997 -0.00362963
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X-1_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE    30.04392295794071 2     	  0.00421168 -0.04222139 0.01662203 -0.00956931 -0.00284104 -0.00472410 -0.00363546
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z1_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE    31.301898659176487 2     	  0.00454423 -0.04466076 0.01840634 -0.01021901 -0.00364310 -0.00553191 -0.00443994
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X0_Y-1_Z0_mono0_fix1//test20tig_AVDZ// DONE    31.301899381215186 2     	  0.00454806 -0.04466110 0.01840576 -0.01021704 -0.00364066 -0.00552986 -0.00443766
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono0_fix1/shell1_X-1_Y0_Z0_mono1_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE    31.301911293921126 2     	  0.00458901 -0.04466038 0.01838313 -0.01018801 -0.00360611 -0.00553833 -0.00442126
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X-1_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono0_fix1//test20tig_AVDZ// DONE    31.30191201595982 2     	  0.00457906 -0.04466055 0.01838712 -0.01019587 -0.00361219 -0.00553074 -0.00442158
