shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.832536863788853 4.87481984938681 4.576816950491205 14.284173663666868 2     	  0.01373124 0.01324888 0.01255241 -0.01867631 -0.01871231 -0.01867670 -0.01871219 -0.00000001 -0.00000000 0.03240795 0.03192560 0.03126460
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.874819824994216 4.8325372673373375 4.576816950491205 14.284174042822757 2     	  0.01783067 0.01733325 0.01662128 -0.01709062 -0.01712318 -0.01709247 -0.01712280 -0.00000001 -0.00000000 0.03492315 0.03442573 0.03374408
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.832536863788853 4.576817879131266 4.87481984938681 14.284174592306929 4     	  0.01783379 0.01733297 0.01661635 -0.01709053 -0.01712308 -0.01709237 -0.01712267 -0.00000001 -0.00000000 0.03492617 0.03442534 0.03373902
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.576817879131266 4.874819824994216 4.8325372673373375 14.284174971462818 4     	  0.01373116 0.01324879 0.01255232 -0.01867643 -0.01871242 -0.01867682 -0.01871228 -0.00000001 -0.00000000 0.03240799 0.03192562 0.03126460
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.832536863788853 4.8325372673373375 5.83480027387607 15.49987440500226 2     	  0.00737209 0.00690470 0.00623260 -0.01425869 -0.01429084 -0.01425998 -0.01429159 -0.00000001 -0.00000000 0.02163208 0.02116469 0.02052419
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 5.834800797021388 4.8325372673373375 4.832536863788853 15.499874928147579 4     	  0.00737209 0.00690466 0.00623256 -0.01425911 -0.01429126 -0.01426043 -0.01429198 -0.00000001 -0.00000000 0.02163253 0.02116510 0.02052455
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.8748181239170645 4.874818245582405 5.83480027387607 15.58443664337554 2     	  0.00633010 0.00597727 0.00546930 -0.01261337 -0.01263853 -0.01261458 -0.01263905 -0.00000001 -0.00000000 0.01894469 0.01859186 0.01810835
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X0_Y-1_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.8748181239170645 5.83480079702139 4.874818245582404 15.584437166520857 4     	  0.00632617 0.00597748 0.00547518 -0.01261370 -0.01263888 -0.01261488 -0.01263936 -0.00000001 -0.00000000 0.01894106 0.01859237 0.01811454
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z1_mono0_fix1//test20tig_AVDZ// DONE 4.832536863788853 6.052387884674758 4.8748181239170645 15.759742872380675 4     	  0.00787048 0.00756102 0.00711742 -0.00862602 -0.00864470 -0.00862531 -0.00864484 -0.00000001 -0.00000000 0.01649580 0.01618634 0.01576227
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.832536863788853 4.8748181239170645 6.052388083568137 15.759743071274055 2     	  0.00770623 0.00747631 0.00714355 -0.00633529 -0.00635415 -0.00633678 -0.00635445 -0.00000001 -0.00000000 0.01404302 0.01381309 0.01349800
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 6.052387884674758 4.8325372673373375 4.874818245582405 15.7597433975945 4     	  0.00770631 0.00747638 0.00714364 -0.00633494 -0.00635380 -0.00633644 -0.00635410 -0.00000001 -0.00000000 0.01404276 0.01381283 0.01349774
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.874818245582405 4.8325372673373375 6.052388083568135 15.75974359648788 2     	  0.00787054 0.00756105 0.00711744 -0.00862616 -0.00864485 -0.00862551 -0.00864500 -0.00000001 -0.00000000 0.01649607 0.01618657 0.01576244
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.832536863788853 4.874819824994216 7.2061641805828875 16.913520869365957 2     	  0.00254484 0.00253942 0.00253090 -0.00046090 -0.00046076 -0.00046103 -0.00046213 -0.00000002 -0.00000000 0.00300589 0.00300047 0.00299303
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y-1_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 7.206164883641014 4.87481984938681 4.8325372673373375 16.913522000365163 4     	  0.00254493 0.00253945 0.00253087 -0.00046100 -0.00046086 -0.00046117 -0.00046225 -0.00000002 -0.00000000 0.00300612 0.00300064 0.00299313
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y-1_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.832536863788853 7.234555636358268 4.874819824994216 16.941912325141338 4     	  0.00223377 0.00225512 0.00228622 0.00063873 0.00063937 0.00063878 0.00064060 -0.00000002 -0.00000001 0.00159502 0.00161637 0.00164562
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.87481984938681 4.8325372673373375 7.23455534818809 16.941912464912235 2     	  0.00223341 0.00225492 0.00228624 0.00063878 0.00063941 0.00063881 0.00064064 -0.00000002 -0.00000000 0.00159461 0.00161612 0.00164560
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.832536863788853 4.832541803661923 7.3579458897229895 17.023024557173763 2     	  0.00189987 0.00189711 0.00188821 -0.00027819 -0.00028170 -0.00027701 -0.00028214 -0.00000002 -0.00000000 0.00217689 0.00217414 0.00217035
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z1_mono0_fix1//test20tig_AVDZ// DONE 4.832536863788853 7.357945972453686 4.832541803661923 17.023024639904463 4     	  0.00190002 0.00189720 0.00188824 -0.00027798 -0.00028148 -0.00027679 -0.00028192 -0.00000002 -0.00000000 0.00217683 0.00217402 0.00217016
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.832536863788853 7.687882795249494 4.576816950491205 17.097236609529553 2     	  0.00107962 0.00106711 0.00104353 0.00012628 0.00012078 0.00012643 0.00011996 -0.00000003 -0.00000000 0.00095322 0.00094071 0.00092357
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 7.687883006758034 4.8325372673373375 4.576816950491205 17.09723722458658 2     	  0.00075088 0.00078067 0.00082050 0.00075622 0.00075636 0.00075636 0.00075535 -0.00000002 -0.00000001 -0.00000546 0.00002433 0.00006515
