shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono0_fix1//test20tig_AVTZ// DONE 4.38165304261412 2            	  -0.66057651 -0.62705250 -0.58156100 0.43209890 0.43164580 0.43209700 0.43164680 -0.00000000 -0.00000000 -1.09267351 -1.05914900 -1.01320800
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.689718751012225 1            	  -0.35750432 -0.33225640 -0.29662880 0.55808020 0.55910830 0.55807960 0.55910820 -0.00000000 -0.00000000 -0.91558392 -0.89033600 -0.85573700
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.689718793492955 1            	  -0.35750599 -0.33225800 -0.29663040 0.55807900 0.55910740 0.55807880 0.55910730 -0.00000000 -0.00000000 -0.91558479 -0.89033680 -0.85573770
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689720349898126 1            	  -0.35750564 -0.33225750 -0.29662970 0.55808200 0.55910980 0.55808110 0.55910960 -0.00000000 -0.00000000 -0.91558674 -0.89033860 -0.85573930
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689720404504576 1            	  -0.35750379 -0.33225580 -0.29662820 0.55808230 0.55911050 0.55808180 0.55911030 -0.00000000 -0.00000000 -0.91558559 -0.89033760 -0.85573850
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 4.8542918473850225 2            	  -0.46081383 -0.43580570 -0.40237710 0.33033770 0.32949380 0.33033620 0.32949450 -0.00000000 0.00000000 -0.79115003 -0.76614190 -0.73187150
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.879875191366439 1            	  -0.54495467 -0.51762110 -0.47923390 0.16066510 0.16159560 0.16066520 0.16159530 -0.00000001 -0.00000000 -0.70561986 -0.67828630 -0.64082920
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.879875284071528 1            	  -0.54495869 -0.51762490 -0.47923740 0.16066630 0.16159630 0.16066580 0.16159590 -0.00000001 -0.00000000 -0.70562448 -0.67829070 -0.64083330
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.879876783261088 1            	  -0.54495250 -0.51761930 -0.47923260 0.16066220 0.16159240 0.16066200 0.16159210 -0.00000001 -0.00000000 -0.70561449 -0.67828130 -0.64082470
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.879876784204481 1            	  -0.54495659 -0.51762310 -0.47923610 0.16066310 0.16159320 0.16066280 0.16159290 -0.00000001 -0.00000000 -0.70561939 -0.67828590 -0.64082890
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1//test20tig_AVTZ// DONE 6.064820747978854 2            	  -0.05448628 -0.05381472 -0.05229275 0.15261440 0.15321340 0.15261370 0.15321540 -0.00000001 -0.00000000 -0.20709997 -0.20642840 -0.20550810
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z1_mono0_fix1//test20tig_AVTZ// DONE 6.602802553139406 2            	  -0.08642902 -0.08560052 -0.08476783 -0.04184480 -0.04214869 -0.04184526 -0.04214790 -0.00000000 -0.00000000 -0.04458375 -0.04375526 -0.04261992
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z0_mono0_fix1//test20tig_AVTZ// DONE 6.810811507043177 2            	  -0.08583050 -0.08498853 -0.08419153 -0.04951052 -0.04986781 -0.04951021 -0.04986703 -0.00000002 -0.00000001 -0.03632027 -0.03547830 -0.03432449
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-1_Y1_Z-2_mono1_fix1//test20tig_AVTZ// DONE 7.324543867648097 1            	  -0.03157078 -0.03140152 -0.03119228 -0.00614298 -0.00616605 -0.00614328 -0.00616600 -0.00000002 -0.00000001 -0.02542748 -0.02525822 -0.02502627
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-1_Y0_Z-2_mono1_fix1//test20tig_AVTZ// DONE 7.324543907536211 1            	  -0.03157049 -0.03140119 -0.03119192 -0.00614250 -0.00616560 -0.00614283 -0.00616557 -0.00000002 -0.00000001 -0.02542765 -0.02525835 -0.02502635
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z1_mono1_fix1//test20tig_AVTZ// DONE 7.324546685996958 1            	  -0.03157526 -0.03140123 -0.03118548 -0.00614265 -0.00616557 -0.00614280 -0.00616554 -0.00000002 -0.00000001 -0.02543244 -0.02525841 -0.02501993
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono1_fix1//test20tig_AVTZ// DONE 7.3245467079324795 1            	  -0.03157558 -0.03140157 -0.03118583 -0.00614293 -0.00616601 -0.00614325 -0.00616598 -0.00000002 -0.00000001 -0.02543231 -0.02525830 -0.02501984
shell0_X0_Y0_Z0_mono0_fix1/shell2_X0_Y1_Z-2_mono1_fix1//test20tig_AVTZ// DONE 7.64669015623292 1            	  -0.02288377 -0.02278700 -0.02273170 -0.00632843 -0.00640582 -0.00632809 -0.00640542 -0.00000002 -0.00000001 -0.01655567 -0.01645889 -0.01632627
shell0_X0_Y0_Z0_mono0_fix1/shell2_X0_Y0_Z-2_mono1_fix1//test20tig_AVTZ// DONE 7.646690203091246 1            	  -0.02288363 -0.02278686 -0.02273158 -0.00632823 -0.00640564 -0.00632789 -0.00640523 -0.00000002 -0.00000001 -0.01655572 -0.01645895 -0.01632634
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z1_mono1_fix1//test20tig_AVTZ// DONE 7.64669296991229 1            	  -0.02288329 -0.02278653 -0.02273127 -0.00632809 -0.00640534 -0.00632758 -0.00640493 -0.00000002 -0.00000001 -0.01655569 -0.01645893 -0.01632633
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z1_mono1_fix1//test20tig_AVTZ// DONE 7.646692981710969 1            	  -0.02288376 -0.02278670 -0.02273103 -0.00632810 -0.00640552 -0.00632779 -0.00640512 -0.00000002 -0.00000001 -0.01655595 -0.01645890 -0.01632590
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z1_mono0_fix1//test20tig_AVTZ// DONE 7.918115177639053 2            	  -0.01521015 -0.01513451 -0.01498406 -0.00040513 -0.00035881 -0.00040568 -0.00035887 -0.00000001 -0.00000001 -0.01480447 -0.01472883 -0.01462518
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 7.9370587750867125 1            	  -0.02362665 -0.02352542 -0.02343527 -0.00682063 -0.00686998 -0.00682088 -0.00686947 -0.00000002 -0.00000000 -0.01680575 -0.01670452 -0.01656580
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 7.937058818163156 1            	  -0.02362797 -0.02352657 -0.02343618 -0.00682111 -0.00687052 -0.00682141 -0.00687000 -0.00000002 -0.00000000 -0.01680653 -0.01670513 -0.01656617
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 7.937059651198265 1            	  -0.02362849 -0.02352671 -0.02343580 -0.00682117 -0.00687053 -0.00682143 -0.00687001 -0.00000002 -0.00000000 -0.01680704 -0.01670526 -0.01656579
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 7.937059665509641 1            	  -0.02362677 -0.02352554 -0.02343538 -0.00682063 -0.00687000 -0.00682090 -0.00686947 -0.00000002 -0.00000000 -0.01680585 -0.01670462 -0.01656590
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z-1_mono0_fix1//test20tig_AVTZ// DONE 7.94785401225415 2            	  -0.01744956 -0.01734305 -0.01719671 -0.00514244 -0.00514262 -0.00514238 -0.00514204 -0.00000002 -0.00000000 -0.01230717 -0.01220065 -0.01205468
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y-1_Z0_mono0_fix1//test20tig_AVTZ// DONE 8.165893982210708 2            	  -0.01016688 -0.01022668 -0.01025053 0.00883385 0.00889156 0.00883415 0.00889224 -0.00000003 -0.00000002 -0.01900100 -0.01906080 -0.01914275
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 8.232858600601466 1            	  -0.01504057 -0.01496718 -0.01488381 -0.00316892 -0.00318651 -0.00316892 -0.00318612 -0.00000001 -0.00000001 -0.01187164 -0.01179825 -0.01169768
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 8.232858625612328 1            	  -0.01504083 -0.01496750 -0.01488419 -0.00316925 -0.00318680 -0.00316924 -0.00318642 -0.00000001 -0.00000001 -0.01187158 -0.01179825 -0.01169776
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 8.232859489005401 1            	  -0.01504095 -0.01496761 -0.01488429 -0.00316941 -0.00318703 -0.00316946 -0.00318665 -0.00000001 -0.00000001 -0.01187148 -0.01179814 -0.01169764
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 8.232859518875284 1            	  -0.01504062 -0.01496731 -0.01488407 -0.00316918 -0.00318673 -0.00316914 -0.00318636 -0.00000001 -0.00000001 -0.01187147 -0.01179816 -0.01169770
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono0_fix1//test20tig_AVTZ// DONE 8.27527950048686 2            	  -0.00322094 -0.00327150 -0.00335560 0.00805945 0.00804384 0.00805908 0.00804425 -0.00000001 -0.00000000 -0.01128000 -0.01133056 -0.01139985
shell0_X0_Y0_Z0_mono0_fix1/shell2_X0_Y0_Z2_mono0_fix1//test20tig_AVTZ// DONE 8.293258355384793 2            	  -0.01798469 -0.01786961 -0.01778876 -0.00929269 -0.00936987 -0.00929235 -0.00936923 -0.00000003 -0.00000000 -0.00869232 -0.00857724 -0.00841953
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y-1_Z-1_mono0_fix1//test20tig_AVTZ// DONE 8.971985427673124 2            	  -0.01118791 -0.01114129 -0.01110437 -0.00367059 -0.00369802 -0.00367102 -0.00369799 -0.00000001 -0.00000000 -0.00751688 -0.00747026 -0.00740638
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono0_fix1//test20tig_AVTZ// DONE 9.035177165497887 2            	  -0.01189778 -0.01183052 -0.01181313 -0.00733374 -0.00740905 -0.00733340 -0.00740818 -0.00000001 -0.00000001 -0.00456437 -0.00449711 -0.00440493
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-1_Y0_Z-2_mono0_fix1//test20tig_AVTZ// DONE 9.153763844015145 2            	  -0.00045811 -0.00052966 -0.00057667 0.00691609 0.00696651 0.00691552 0.00696654 -0.00000002 -0.00000001 -0.00737362 -0.00744516 -0.00754320
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y-1_Z1_mono0_fix1//test20tig_AVTZ// DONE 9.295490539077504 2            	  0.00148688 0.00137925 0.00127804 0.00916636 0.00921277 0.00916632 0.00921259 -0.00000002 -0.00000001 -0.00767942 -0.00778705 -0.00793453
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 9.361506889970096 2            	  -0.01187519 -0.01179037 -0.01172138 -0.00792908 -0.00797656 -0.00792901 -0.00797625 -0.00000001 -0.00000000 -0.00394618 -0.00386136 -0.00374512
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z1_mono0_fix1//test20tig_AVTZ// DONE 9.387373487374097 2            	  0.00955744 0.00942526 0.00935986 0.01666214 0.01677754 0.01666179 0.01677755 -0.00000000 -0.00000000 -0.00710434 -0.00723654 -0.00741769
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y1_Z-2_mono1_fix1//test20tig_AVTZ// DONE 9.573570512557703 1            	  -0.00428569 -0.00428851 -0.00428480 0.00101733 0.00102433 0.00101693 0.00102451 -0.00000001 -0.00000001 -0.00530260 -0.00530543 -0.00530930
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z-2_mono1_fix1//test20tig_AVTZ// DONE 9.573570545117207 1            	  -0.00428527 -0.00428853 -0.00428541 0.00101716 0.00102420 0.00101679 0.00102437 -0.00000001 -0.00000001 -0.00530205 -0.00530531 -0.00530978
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z1_mono1_fix1//test20tig_AVTZ// DONE 9.573572628954876 1            	  -0.00428645 -0.00428869 -0.00428418 0.00101699 0.00102403 0.00101662 0.00102420 -0.00000001 -0.00000001 -0.00530306 -0.00530530 -0.00530837
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z1_mono1_fix1//test20tig_AVTZ// DONE 9.573572643884125 1            	  -0.00428547 -0.00428867 -0.00428545 0.00101709 0.00102416 0.00101676 0.00102434 -0.00000001 -0.00000001 -0.00530222 -0.00530541 -0.00530979
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-1_Y0_Z2_mono0_fix1//test20tig_AVTZ// DONE 9.80780491502408 2            	  -0.00774684 -0.00769748 -0.00768271 -0.00515480 -0.00520773 -0.00515470 -0.00520758 -0.00000001 -0.00000001 -0.00259213 -0.00254277 -0.00247512
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z-1_mono0_fix1//test20tig_AVTZ// DONE 9.903259070833585 2            	  -0.00494865 -0.00493095 -0.00491109 -0.00085657 -0.00086152 -0.00085679 -0.00086119 -0.00000001 -0.00000000 -0.00409185 -0.00407415 -0.00404990
shell0_X0_Y0_Z0_mono0_fix1/shell2_X1_Y1_Z-2_mono1_fix1//test20tig_AVTZ// DONE 10.272462453065987 1            	  -0.00085964 -0.00087026 -0.00086829 0.00216393 0.00218019 0.00216380 0.00218033 -0.00000001 -0.00000001 -0.00302343 -0.00303406 -0.00304862
shell0_X0_Y0_Z0_mono0_fix1/shell2_X1_Y0_Z-2_mono1_fix1//test20tig_AVTZ// DONE 10.27246247983005 1            	  -0.00085122 -0.00086543 -0.00086835 0.00216383 0.00218008 0.00216371 0.00218024 -0.00000001 -0.00000000 -0.00301492 -0.00302913 -0.00304859
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y1_Z1_mono1_fix1//test20tig_AVTZ// DONE 10.272464555493372 1            	  -0.00085105 -0.00086534 -0.00086839 0.00216380 0.00218003 0.00216365 0.00218019 -0.00000001 -0.00000001 -0.00301469 -0.00302899 -0.00304858
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z1_mono1_fix1//test20tig_AVTZ// DONE 10.27246457253201 1            	  -0.00085979 -0.00087036 -0.00086830 0.00216387 0.00218013 0.00216374 0.00218029 -0.00000001 -0.00000001 -0.00302352 -0.00303410 -0.00304858
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-1_Y2_Z-1_mono1_fix1//test20tig_AVTZ// DONE 10.479836115247128 1            	  0.00166492 0.00162345 0.00160209 0.00493233 0.00496733 0.00493190 0.00496739 -0.00000000 -0.00000000 -0.00326698 -0.00330845 -0.00336529
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y-1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 10.479836186966653 1            	  0.00166489 0.00162337 0.00160205 0.00493239 0.00496733 0.00493183 0.00496739 -0.00000001 -0.00000000 -0.00326694 -0.00330845 -0.00336534
