shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X-1_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689718751012225 4.854291847385022 4.879876784204481 28.37513504502633 2    	  0.00699858 -0.04548261 0.01161983 -0.00614102 0.00151977 -0.00092992 0.00048631
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 4.689720404504576 4.8798752840715265 4.854291847385022 28.375135233875202 2    	  0.00703396 -0.04548277 0.01160046 -0.00611811 0.00155161 -0.00093074 0.00050437
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.689718751012225 4.38165304261412 4.879875191366439 28.375135400070853 2    	  0.00702135 -0.04548269 0.01160942 -0.00612658 0.00153850 -0.00093220 0.00049617
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z1_mono0_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689720404504576 4.381653042614121 4.879876783261088 28.375135588919733 2    	  0.00701707 -0.04548249 0.01161105 -0.00612761 0.00153363 -0.00092679 0.00049564
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y1_Z-1_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689718751012225 4.879875191366439 4.689720349898127 29.56007843455345 1    	  0.00609751 -0.04412558 0.01341885 -0.00718933 -0.00013201 -0.00233258 -0.00106037
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y0_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.689720404504576 4.689718793492955 4.8798752840715265 29.560078624345717 1    	  0.00608426 -0.04660660 0.01390910 -0.00731571 -0.00050913 -0.00263982 -0.00140801
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X-1_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 6.064820747978854 4.689718751012225 4.854291847385022 29.560079930254787 3    	  0.00608920 -0.04660673 0.01390218 -0.00730874 -0.00050424 -0.00262536 -0.00139909
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X-1_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689718751012225 4.879876784204481 4.689720349898127 29.560080027391493 1    	  0.00612556 -0.04660645 0.01388150 -0.00728330 -0.00047264 -0.00263879 -0.00138649
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 4.38165304261412 4.8798752840715265 4.854291847385022 29.56008012004705 3    	  0.00608657 -0.04412584 0.01342523 -0.00719625 -0.00014241 -0.00233212 -0.00106619
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y0_Z-1_mono1_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689720404504576 4.689718793492955 4.879876783261088 29.56008012353528 1    	  0.00611358 -0.04412530 0.01341834 -0.00718808 -0.00011668 -0.00235217 -0.00105978
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVTZ// DONE 6.064820747978854 4.689718751012225 4.38165304261412 29.56008152309283 3    	  0.00611330 -0.04412562 0.01342179 -0.00719403 -0.00011446 -0.00236269 -0.00106293
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z1_mono0_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 4.689720404504576 6.064820747978854 4.854291847385022 29.560081619236612 3    	  0.00611018 -0.04660662 0.01389171 -0.00729653 -0.00048500 -0.00263277 -0.00139109
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y1_Z-1_mono1_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689718751012225 4.879875191366439 4.879876784204481 30.288215872247488 1    	  0.00521599 -0.01067254 0.00571245 -0.00184076 0.00134430 0.00051232 0.00099331
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689718793492955 4.8798752840715265 4.879876783261088 30.288216006489915 1    	  0.00514156 -0.01173414 0.00568295 -0.00198646 0.00144508 0.00056518 0.00107387
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1/shell1_X-1_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.879875191366439 4.879876784204481 4.689720349898127 30.288217471133393 1    	  0.00512428 -0.01173414 0.00569246 -0.00199709 0.00142892 0.00056734 0.00106544
