shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell1_X-1_Y0_Z1_mono0_fix1//test20tig_AVDZ// DONE 6.064820747978854 6.602802553139408 8.293258355384795 20.960881656503055 6	0.00022466 0.00031515 0.00025416 0.00001770 -0.00004720 0.00000747 -0.00002414
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-1_Y0_Z-2_mono1_fix1/shell2_X-1_Y1_Z-2_mono1_fix1//test20tig_AVDZ// DONE 7.324543907536211 7.3245438676480985 6.810810873136547 21.459898648320856 2	0.00074939 0.00072578 0.00067479 0.00001652 0.00005808 0.00007790 0.00006644
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono0_fix1/shell2_X-1_Y1_Z-2_mono1_fix1//test20tig_AVDZ// DONE 6.810811507043177 7.3245438676480985 7.324543907536211 21.459899282227486 4	0.00074149 0.00072578 0.00066627 0.00002387 0.00005135 0.00007916 0.00006308
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y-1_Z-1_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 8.971985427673124 6.064820747978854 6.810811507043177 21.847617682695155 6	-0.00023719 -0.00025259 -0.00051636 0.00001260 0.00026656 0.00032174 0.00028984
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-1_Y1_Z-2_mono1_fix1/shell2_X-2_Y1_Z-1_mono1_fix1//test20tig_AVDZ// DONE 7.3245438676480985 7.9370587750867125 6.602801743528848 21.864404386263658 2	0.00028812 0.00028824 0.00006607 0.00008627 0.00013578 0.00021158 0.00016776
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-1_Y0_Z-2_mono1_fix1/shell2_X-2_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 7.324543907536211 7.937058818163156 6.602801743528848 21.864404469228216 2	0.00085873 0.00076375 0.00079376 0.00002388 0.00004109 0.00007822 0.00005675
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z-1_mono0_fix1/shell2_X-1_Y1_Z-2_mono1_fix1//test20tig_AVDZ// DONE 6.602802553139408 7.3245438676480985 7.9370587750867125 21.86440519587422 4	0.00083691 0.00076375 0.00077010 0.00004797 0.00001884 0.00007803 0.00004381
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z-1_mono0_fix1/shell2_X-1_Y0_Z-2_mono1_fix1//test20tig_AVDZ// DONE 6.602802553139408 7.324543907536211 7.937058818163156 21.864405278838774 4	0.00029468 0.00028824 0.00006659 0.00008123 0.00014686 0.00021425 0.00017529
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell1_X-1_Y1_Z-1_mono0_fix1//test20tig_AVDZ// DONE 6.064820747978854 9.035177165497888 6.810811507043177 21.910809420519918 6	0.00010177 0.00024699 0.00021109 0.00001635 -0.00012567 -0.00009971 -0.00011472
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y1_Z-1_mono1_fix1/shell2_X0_Y1_Z-2_mono1_fix1//test20tig_AVDZ// DONE 8.232858600601466 7.646690156232921 6.064820740141162 21.944369496975547 2	-0.00002847 -0.00004731 -0.00034387 0.00001108 0.00030432 0.00033086 0.00031552
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell2_X0_Y1_Z-2_mono1_fix1//test20tig_AVDZ// DONE 6.064820747978854 7.646690156232921 8.232858600601466 21.94436950481324 4	0.00107957 0.00117391 0.00096163 0.00011002 0.00000792 -0.00001612 -0.00000222
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z-1_mono1_fix1/shell2_X0_Y0_Z-2_mono1_fix1//test20tig_AVDZ// DONE 8.232858625612332 7.646690203091247 6.064820740141162 21.944369568844742 2	0.00108877 0.00117389 0.00095677 0.00011025 0.00002176 -0.00002741 0.00000101
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell2_X0_Y0_Z-2_mono1_fix1//test20tig_AVDZ// DONE 6.064820747978854 7.646690203091247 8.232858625612332 21.944369576682433 4	-0.00004514 -0.00004734 -0.00036383 0.00003055 0.00028813 0.00033200 0.00030664
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell1_X1_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 6.064820747978854 6.602802553139408 9.361506889970098 22.02913019108836 6	-0.00025700 -0.00010360 -0.00045847 0.00008189 0.00011959 0.00021385 0.00015935
shell0_X0_Y0_Z0_mono0_fix1/shell2_X0_Y0_Z-2_mono1_fix1/shell2_X0_Y1_Z-2_mono1_fix1//test20tig_AVDZ// DONE 7.646690203091247 7.646690156232921 6.810810873136547 22.104191232460714 2	-0.00009988 -0.00014377 -0.00042655 0.00006314 0.00026354 0.00032467 0.00028933
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono0_fix1/shell2_X0_Y1_Z-2_mono1_fix1//test20tig_AVDZ// DONE 6.810811507043177 7.646690156232921 7.646690203091247 22.104191866367344 4	-0.00010401 -0.00014378 -0.00042943 0.00006666 0.00025875 0.00032432 0.00028642
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell1_X0_Y1_Z-1_mono0_fix1//test20tig_AVDZ// DONE 6.064820747978854 7.918115177639053 8.165893982210706 22.148829907828613 6	-0.00018689 -0.00030936 -0.00050573 0.00002667 0.00029217 0.00032840 0.00030745
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell1_X0_Y-1_Z-1_mono0_fix1//test20tig_AVDZ// DONE 6.064820747978854 7.94785401225415 8.27527950048686 22.287954260719864 6	0.00096251 0.00102918 0.00087138 0.00006378 0.00002735 -0.00002101 0.00000695
shell0_X0_Y0_Z0_mono0_fix1/shell2_X-2_Y0_Z-1_mono1_fix1/shell2_X-2_Y1_Z-1_mono1_fix1//test20tig_AVDZ// DONE 7.937058818163156 7.9370587750867125 6.810810873136547 22.684928466386417 2	0.00031240 0.00019208 0.00002328 0.00004765 0.00024147 0.00014201 0.00019951
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z0_mono0_fix1/shell2_X-2_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 6.81081150704318 7.937058818163156 7.9370587750867125 22.684929100293047 4	0.00023901 0.00019208 0.00001537 0.00005496 0.00016869 0.00023485 0.00019660
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z-1_mono0_fix1/shell1_X1_Y1_Z-1_mono0_fix1//test20tig_AVDZ// DONE 6.602802553139408 9.295490539077504 6.810811507043177 22.709104599260087 6	0.00091484 0.00075368 0.00118008 -0.00004177 -0.00022347 -0.00017566 -0.00020330
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y-1_Z-1_mono0_fix1/shell1_X1_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 7.94785401225415 6.602802553139408 8.165893982210706 22.716550547604264 6	0.00092184 0.00084981 0.00106257 -0.00001285 -0.00012789 -0.00012126 -0.00012509
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono0_fix1/shell1_X1_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 7.918115177639053 6.602802553139408 8.27527950048686 22.79619723126532 6	0.00054722 0.00054212 0.00053238 0.00000755 0.00000728 0.00005088 0.00002568
