shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.689718751012225 4.879876784204481 4.381652121160035 13.95124765637674 2            	  0.01170166 0.01056362 0.00899938 -0.03061923 -0.03062390 -0.03061923 -0.03062393 -0.00000001 -0.00000000 0.04232090 0.04118286 0.03962332
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.879875191366439 4.689720349898127 4.381652121160035 13.9512476624246 2            	  0.03159389 0.03109641 0.03046915 -0.00066048 -0.00060618 -0.00066049 -0.00060601 -0.00000000 -0.00000000 0.03225439 0.03175690 0.03107516
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 4.689718751012225 4.38165304261412 4.879876784204481 13.951248577830825 4            	  0.03159439 0.03109705 0.03047000 -0.00065932 -0.00060504 -0.00065934 -0.00060485 -0.00000000 0.00000000 0.03225373 0.03175639 0.03107485
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.38165304261412 4.879875191366439 4.689720349898127 13.951248583878687 4            	  0.01170185 0.01056375 0.00899944 -0.03061925 -0.03062392 -0.03061924 -0.03062394 -0.00000001 -0.00000000 0.04232110 0.04118300 0.03962338
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.689718751012225 4.879875191366439 4.854291280975464 14.423885223354127 2            	  0.01254098 0.01202367 0.01127408 -0.01164353 -0.01168517 -0.01164439 -0.01168507 -0.00000000 -0.00000000 0.02418537 0.02366806 0.02295915
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.689718793492955 4.8798752840715265 4.854291280975464 14.423885358539945 2            	  -0.00090717 -0.00185426 -0.00323567 -0.04154227 -0.04162673 -0.04154339 -0.04162695 -0.00000000 -0.00000000 0.04063622 0.03968914 0.03839129
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X-1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.689718751012225 4.854291847385022 4.879875191366439 14.423885789763686 4            	  -0.00090697 -0.00185402 -0.00323539 -0.04154212 -0.04162654 -0.04154323 -0.04162681 -0.00000001 -0.00000000 0.04063626 0.03968922 0.03839142
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVDZ// DONE 4.8798752840715265 4.854291847385022 4.689718793492955 14.423885924949502 4            	  0.01253827 0.01202326 0.01127688 -0.01164444 -0.01168608 -0.01164528 -0.01168591 -0.00000000 -0.00000000 0.02418356 0.02366855 0.02296280
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 6.064820747978854 4.38165304261412 4.854291847385022 15.300765637977996 6            	  0.01864486 0.01839343 0.01803624 0.01008956 0.01007710 0.01008926 0.01007662 -0.00000001 -0.00000000 0.00855560 0.00830417 0.00795962
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.689718751012225 4.689720349898127 6.064820740141162 15.444259841051514 2            	  0.01110136 0.01089054 0.01062726 0.00176852 0.00179315 0.00176801 0.00179364 -0.00000000 -0.00000000 0.00933335 0.00912253 0.00883363
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1//test20tig_AVDZ// DONE 6.064820747978854 4.689718751012225 4.689720349898127 15.444259848889207 4            	  0.01110158 0.01089076 0.01062750 0.00176887 0.00179353 0.00176837 0.00179401 -0.00000001 -0.00000000 0.00933322 0.00912240 0.00883350
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X1_Y0_Z-1_mono0_fix1//test20tig_AVDZ// DONE 4.38165304261412 6.602802553139408 4.854291847385022 15.838747443138548 6            	  0.00416029 0.00398557 0.00378694 -0.00434913 -0.00430908 -0.00434981 -0.00430901 -0.00000000 -0.00000000 0.00851011 0.00833539 0.00809595
